image_id,question_type,question,ground_truth,image_url,n_clusters,n_noise,attention_entropy,token_confidence,predicted_token,cluster_count,cluster_0_n_points,cluster_0_avg_strength,cluster_1_n_points,cluster_1_avg_strength,cluster_2_n_points,cluster_2_avg_strength,cluster_0_entropy,cluster_1_entropy,cluster_2_entropy,cluster_3_n_points,cluster_3_avg_strength,cluster_4_n_points,cluster_4_avg_strength,cluster_5_n_points,cluster_5_avg_strength,cluster_6_n_points,cluster_6_avg_strength,cluster_7_n_points,cluster_7_avg_strength,cluster_8_n_points,cluster_8_avg_strength,cluster_9_n_points,cluster_9_avg_strength,cluster_3_entropy,cluster_4_entropy,cluster_5_entropy,cluster_6_entropy,cluster_7_entropy,cluster_8_entropy,cluster_9_entropy,cluster_10_n_points,cluster_10_avg_strength,cluster_11_n_points,cluster_11_avg_strength,cluster_10_entropy,cluster_11_entropy,cluster_12_n_points,cluster_12_avg_strength,cluster_13_n_points,cluster_13_avg_strength,cluster_14_n_points,cluster_14_avg_strength,cluster_15_n_points,cluster_15_avg_strength,cluster_12_entropy,cluster_13_entropy,cluster_14_entropy,cluster_15_entropy
0,object identification,What is this photo taken looking through?,net,http://images.cocodataset.org/train2014/COCO_train2014_000000458752.jpg,3,391,0.9837999720473246,-0.741280734539032,Net,3,15.0,0.003908367647988901,18.0,0.0034296428600330306,16.0,0.003452532188370036,0.9967916319816366,0.9206250851407773,0.8903195311147831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,object identification,What is this man riding on?,skateboard,http://images.cocodataset.org/train2014/COCO_train2014_000000393227.jpg,10,210,0.9815210854391175,-0.022987300530076027,Sk,10,46.0,0.0029854518390153143,18.0,0.0031331111165056194,17.0,0.0030484838899413236,0.9562245792176471,0.872009434056298,0.9603948809345497,19.0,0.003003755440761293,51.0,0.0030491167268328926,34.0,0.0031109773387332034,22.0,0.003166378926515735,34.0,0.003078838313151981,103.0,0.003036337703685132,24.0,0.003036279047430581,0.9462035592964384,0.9726822133994301,0.9936520348079907,0.9741707427017496,0.9552327283213634,0.9895286143539499,0.9398009074013692,,,,,,,,,,,,,,,,,,
2,object identification,What is this person doing?,skiing,http://images.cocodataset.org/train2014/COCO_train2014_000000393230.jpg,9,285,0.9809003013739787,-0.8525318503379822,The,9,15.0,0.002619040278117541,43.0,0.002703381214237245,15.0,0.0026170837587869695,0.9500685975366211,0.9718921836793504,0.9877812438119246,22.0,0.0026699620171394094,18.0,0.002663431699792759,25.0,0.0027009234497847355,21.0,0.0026310567495641244,35.0,0.0026802354962816837,24.0,0.002588270122999519,,,0.933816945485606,0.8821022532543101,0.9697352853986261,0.9907017951253161,0.95845441934051,0.9925308085173911,,,,,,,,,,,,,,,,,,,
3,object identification,What is this?,bear,http://images.cocodataset.org/train2014/COCO_train2014_000000137045.jpg,4,280,0.9432152536979161,-1.0891048908233643,Bear,4,33.0,0.0058976810470503654,15.0,0.00562954616026261,46.0,0.006524880689478998,0.9372425311338689,0.9543063494363562,0.9646470684496572,16.0,0.008075372736127375,,,,,,,,,,,,,0.886859507142915,,,,,,,,,,,,,,,,,,,,,,,,
4,object identification,What is this device?,refrigerator,http://images.cocodataset.org/train2014/COCO_train2014_000000131113.jpg,3,201,0.9933430482453476,-0.24692760407924652,Re,3,150.0,0.0028005946530552874,79.0,0.0026665000178770428,17.0,0.0026592308557956126,0.9861457672787219,0.9782466171491241,0.8919296718389884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,object identification,What is this animal?,elephant,http://images.cocodataset.org/train2014/COCO_train2014_000000262204.jpg,12,190,0.9982910968286628,-0.019028861075639725,Ele,12,15.0,0.002104630209853474,26.0,0.0020181187707957538,25.0,0.002066765888350117,0.9709505944546686,0.9688854841102204,0.9828390276231687,15.0,0.002044544297298003,31.0,0.002016484153509864,19.0,0.0020640063528990357,26.0,0.0020933603061209535,70.0,0.0020345775009055615,18.0,0.0020193521132511267,15.0,0.0020196361978411254,0.9500685975366211,0.9564612380527144,0.8614856395892376,0.927142935993623,0.9798562168372081,0.9955380299191112,1.0,25.0,0.0020184555966597877,15.0,0.002002700965305624,0.9505030771498539,0.9543063494363562,,,,,,,,,,,,
6,object identification,What is this person wearing on head?,hat,http://images.cocodataset.org/train2014/COCO_train2014_000000000086.jpg,7,192,0.9980125814741234,-0.14402242004871368,Hat,7,119.0,0.0020796824647515495,17.0,0.0020388634536717973,69.0,0.002044135326111661,0.9502426991155737,0.9519839065438831,0.9831620649175762,18.0,0.0020343949319512993,10.0,0.0020131392178206033,22.0,0.002046915109533883,16.0,0.002033751778648384,,,,,,,0.9955380299191111,0.9602297178607612,0.9434038256873108,0.9618974703476992,,,,,,,,,,,,,,,,,,,,,
7,object identification,What is this man laying on?,surfboard,http://images.cocodataset.org/train2014/COCO_train2014_000000471373.jpg,4,324,0.9990335777115401,-0.03403230756521225,Sur,4,15.0,0.001893512516040758,23.0,0.0018850993879763792,25.0,0.0018862730747966228,0.9877812438119247,0.9841517646228418,0.9505030771498539,46.0,0.0019263339170934855,,,,,,,,,,,,,0.950839337231916,,,,,,,,,,,,,,,,,,,,,,,,
8,object identification,What is this person holding?,hot dog,http://images.cocodataset.org/train2014/COCO_train2014_000000393428.jpg,7,191,0.9896162027174418,-0.18262039124965668,Hot,7,23.0,0.002635163226413239,81.0,0.0025723996800004144,22.0,0.0025945574814338897,0.9782534167892911,0.9977257209346222,0.998145975216737,166.0,0.0025465740934579977,20.0,0.0024734644918664407,16.0,0.0025051350945252938,44.0,0.0024925706569854694,,,,,,,0.993946591303871,1.0,0.9965119062478288,0.9627146926443797,,,,,,,,,,,,,,,,,,,,,
9,object identification,What is this person standing on?,sand,http://images.cocodataset.org/train2014/COCO_train2014_000000474858.jpg,3,316,0.9928651932041277,-0.21085621416568756,Sand,3,24.0,0.0027316327753487556,49.0,0.0026542468510822987,19.0,0.0027790122766541566,0.9323934896284056,0.9863201163857269,0.922317214818483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
